Nom, marque,CATEGORY, code sous-cateogru, unite,cout,PRIX,QUANTITE,QANTITE ALERT, code-hsn, code isbn,Image, details(virgule interdite),frais supplementaire,"	frais suplementaires 2mois","	frais suplementaires 3 mois",frais penalite 1 mois,frais penalite 2mois,frais penalite 3 mois
feutre lumoc 1.0mm noir  317-9 permanent pm,,papeterie,,pc,900,900,54,5,,,15181.jpg,,,,,,,
marker velleda noir  pointe biseau,,papeterie,,pc,600,600,2062,206,,,15183.jpg,,,,,,,
marker velleda bleu  pointe biseau,,papeterie,,pc,600,600,3350,335,,,15184.jpg,,,,,,,
marker velleda rouge1199175x103 pointe biseau,,papeterie,,pc,950,950,1,0,,,15185.jpg,,,,,,,
marker velleda rouge pointe biseau,,papeterie,,pc,600,600,1228,123,,,15186.jpg,,,,,,,
marker velleda vert pointe biseau,,papeterie,,pc,600,600,737,74,,,15187.jpg,,,,,,,
feutre ball pentel vert.   r56,,papeterie,,pc,950,950,4065,407,,,15191.jpg,,,,,,,
porte mine + gomme,,papeterie,,pc,875,875,6,1,,,15192.jpg,,,,,,,
porte mine + gomme,,papeterie,,pc,850,850,403,40,,,15193.jpg,,,,,,,
marker effacable a sec schneider rouge,,papeterie,,pc,850,850,22,2,,,15194.jpg,,,,,,,
marker effacable a sec schneider vert,,papeterie,,pc,850,850,108,11,,,15195.jpg,,,,,,,
recharge acroball moyen bleu,,papeterie,,pc,850,850,184,18,,,15200.jpg,,,,,,,
recharge acroball moyen noir,,papeterie,,pc,850,850,253,25,,,15201.jpg,,,,,,,
marker effacable a sec schneider noir,,papeterie,,pc,850,850,25,3,,,15202.jpg,,,,,,,
marker velleda noir 1199175x109 pointe biseau,,papeterie,,pc,950,950,48,5,,,15212.jpg,,,,,,,
marker velleda bleu 1199175x1,,papeterie,,pc,800,800,3,0,,,15213.jpg,,,,,,,
marker velleda pointe biseau vert,,papeterie,,pc,850,850,39,4,,,15214.jpg,,,,,,,
marker velleda vert 119x2 pointe biseau,,papeterie,,pc,950,950,432,43,,,15215.jpg,,,,,,,
crayon de couleur long 7cm etui 12  ax-educ,,papeterie,,pc,500,500,5128,513,,,15217.jpg,,,,,,,
stylo supergel 07 rouge begreen,,papeterie,,pc,550,550,2,0,,,15225.jpg,,,,,,,
gourde s-112,,papeterie,,pc,750,750,6,1,,,15226.jpg,,,,,,,
marker permanent vert pointe biseau    350-5,,papeterie,,pc,500,500,282,28,,,15228.jpg,,,,,,,
recharge rfjs-gp pointe moyenne noir,,papeterie,,pc,750,750,333,33,,,15230.jpg,,,,,,,
recharge rfjs-gp pointe moyenne bleu,,papeterie,,pc,750,750,151,15,,,15231.jpg,,,,,,,
recharge rfj-gp pointe moyenne bleu,,papeterie,,pc,750,750,241,24,,,15232.jpg,,,,,,,
recharge rfj-gp pointe moyenne noir,,papeterie,,pc,750,750,261,26,,,15233.jpg,,,,,,,
marker permanent rouge 35x2-3 pointe ogive,,papeterie,,pc,450,450,759,76,,,15235.jpg,,,,,,,
pince 'spring' clip 107mm,,papeterie,,pc,730,730,2,0,,,15237.jpg,,,,,,,
surligneur stabilo-boss vert,,papeterie,,pc,600,600,578,58,,,15241.jpg,,,,,,,
surligneur topstar orange    pointe biseaute 364-4,,papeterie,,pc,400,400,489,49,,,15244.jpg,,,,,,,
surligneur topstar bleu  pointe biseaute 364-3,,papeterie,,pc,400,400,408,41,,,15245.jpg,,,,,,,
marker permanent pointe biseau a8 vert,,papeterie,,pc,800,800,38,4,,,15246.jpg,,,,,,,
surligneur topstar rose pointe biseaute 364-23,,papeterie,,pc,500,500,3,0,,,15247.jpg,,,,,,,
surligneur topstar jaune pointe biseaute 364-1,,papeterie,,pc,450,450,1547,155,,,15248.jpg,,,,,,,
surligneur topstar vert  pointe biseaute 364-5,,papeterie,,pc,400,400,615,62,,,15249.jpg,,,,,,,
surligneur topstar rouge      pointe biseaute 364-2,,papeterie,,pc,500,500,20,2,,,15251.jpg,,,,,,,
surligneur stabilo-boss rose,,papeterie,,pc,600,600,183,18,,,15252.jpg,,,,,,,
feuille film polyester a3,,papeterie,,pc,700,700,3191,319,,,15253.jpg,,,,,,,
feutre schneider topwriter 147 bleu,,papeterie,,pc,750,750,1,0,,,15257.jpg,,,,,,,
feutre schneider topwriter  147 noir,,papeterie,,pc,750,750,1,0,,,15258.jpg,,,,,,,
surligneur briteliner grip   jaune   811935,,papeterie,,pc,650,650,56,6,,,15267.jpg,,,,,,,
surligneur briteliner grip   vert   8119x2,,papeterie,,pc,650,650,183,18,,,15268.jpg,,,,,,,
surligneur briteliner grip   rose   811934,,papeterie,,pc,650,650,185,19,,,15270.jpg,,,,,,,
surligneur briteliner text rose     85x11,,papeterie,,pc,650,650,254,25,,,15271.jpg,,,,,,,
surligneur briteliner text vert     857609,,papeterie,,pc,650,650,207,21,,,15272.jpg,,,,,,,
stylo bic cristal assortis bvrn blister 4,,papeterie,,pc,400,400,54,5,,,15274.jpg,,,,,,,
taille crayon plastique  a reservoir 2 trous gm ass  ty002,,papeterie,,pc,650,650,11109,1111,,,15276.jpg,,,,,,,
carte cote d'ivoire,,papeterie,,pc,550,550,31,3,,,15281.jpg,,,,,,,
badge a clip 90mmx54mm bleu,,papeterie,,pc,600,600,5214,521,,,15283.jpg,,,,,,,
"stylo ball pointe 0,7m-m",,papeterie,,pc,600,600,60,6,,,15285.jpg,,,,,,,
surligneur pointe biseau rose,,papeterie,,pc,650,650,1,0,,,15290.jpg,,,,,,,
badge a corde 85x53mm    5744,,papeterie,,pc,600,600,2,0,,,15291.jpg,,,,,,,
stylo correcteur mini,,papeterie,,pc,650,650,95,10,,,15295.jpg,,,,,,,
ciseaux swing ecolier 13cm lames inox,,papeterie,,pc,350,350,167,17,,,15296.jpg,,,,,,,
"mines 0,7mm hb etui 12",,papeterie,,pc,570,570,59,6,,,15300.jpg,,,,,,,
"mine 0,5m-m h etui",,papeterie,,pc,570,570,1542,154,,,15301.jpg,,,,,,,
"etui  mines 0,5x2b",,papeterie,,pc,565,565,3058,306,,,15302.jpg,,,,,,,
crayon mars100-5b,,papeterie,,pc,600,600,175,18,,,15307.jpg,,,,,,,
crayon mars100-hb,,papeterie,,pc,600,600,439,44,,,15309.jpg,,,,,,,
crayon mars 100-b,,papeterie,,pc,600,600,443,44,,,15310.jpg,,,,,,,
feuille touch 50x65 355 grs  bleu indigo,,papeterie,,pc,3700,3700,7,1,,,15311.jpg,,,,,,,
feuille touch 50x65 355 grs mar cachou,,papeterie,,pc,3700,3700,4,0,,,15312.jpg,,,,,,,
feuille touch 50x65 355 grs bleu clair,,papeterie,,pc,3700,3700,6,1,,,15315.jpg,,,,,,,
feuille touch 50x65 355 grs gris ciel,,papeterie,,pc,3700,3700,10,1,,,15316.jpg,,,,,,,
tableau mural simple vert 120*300cm,,papeterie,,pc,895950,895950,1,0,,,15318.jpg,,,,,,,
sac a dos pure sound moyen,,papeterie,,pc,22000,22000,2,0,,,15332.jpg,,,,,,,
sac a dos gm mtc,,papeterie,,pc,15000,15000,2,0,,,15335.jpg,,,,,,,
sac born olivi mari 2 compartiments,,papeterie,,pc,45880,45880,8,1,,,15338.jpg,,,,,,,
colle uhu stick 21g baton,,papeterie,,pc,1350,1350,447,45,,,15340.jpg,,,,,,,
mouchoirs fiesta boite 200,,papeterie,,pc,1000,1000,618,62,,,15347.jpg,,,,,,,
protege cahier 17x22 incolore 201110-17,,papeterie,,pc,300,300,644,64,,,15348.jpg,,,,,,,
protege cahier 17x22 violet,,papeterie,,pc,130,130,705,71,,,15349.jpg,,,,,,,
sac hello kitty toile,,papeterie,,pc,13500,13500,1,0,,,15362.jpg,,,,,,,
sac en toile,,papeterie,,pc,13500,13500,2,0,,,15364.jpg,,,,,,,
sac a dos xinyi,,papeterie,,pc,20000,20000,7,1,,,15367.jpg,,,,,,,
sac born psssy tart 2 compartiments assorti,,papeterie,,pc,42150,42150,4,0,,,15372.jpg,,,,,,,
trousse - fourre tout addict,,papeterie,,pc,7750,7750,29,3,,,15377.jpg,,,,,,,
trousse - fourre tout plat glam's,,papeterie,,pc,5580,5580,5,1,,,15378.jpg,,,,,,,
trousse - fourre tout juco assorti,,papeterie,,pc,2000,2000,1,0,,,15380.jpg,,,,,,,
trousse - fourre tout colors rayures assortis,,papeterie,,pc,3600,3600,2,0,,,15382.jpg,,,,,,,
trousse - fourre tout forme crocodile assortie,,papeterie,,pc,5400,5400,1,0,,,15383.jpg,,,,,,,
trousse - fourre tout cuir vif,,papeterie,,pc,3000,3000,14,1,,,15384.jpg,,,,,,,
trousse - fourre tout cuir pompon assorti,,papeterie,,pc,7200,7200,10,1,,,15385.jpg,,,,,,,
fourretout promo modele assortie,,papeterie,,pc,3600,3600,1,0,,,15386.jpg,,,,,,,
trousse - fourre tout cuir assorti,,papeterie,,pc,3000,3000,1,0,,,15387.jpg,,,,,,,
ciseaux ecolier 12cm,,papeterie,,pc,530,530,22,2,,,15388.jpg,,,,,,,
recharge tampon shiny bleu,,papeterie,,pc,1800,1800,187,19,,,15391.jpg,,,,,,,
recharge tampon shiny noir,,papeterie,,pc,1650,1650,187,19,,,15392.jpg,,,,,,,
recharge tampon shiny bleu,,papeterie,,pc,1800,1800,489,49,,,15393.jpg,,,,,,,
recharge tampon 62x31 shiny rouge,,papeterie,,pc,1650,1650,44,4,,,15394.jpg,,,,,,,
numeroteur a bande 6mm,,papeterie,,pc,1800,1800,80,8,,,15395.jpg,,,,,,,
badge id porte-cartes de verticales 5 pieces bleu faux cuir pour le personnel,,papeterie,,pc,1600,1600,171,17,,,15403.jpg,,,,,,,
bolducs bobine lisse 500mx7mm choco,,papeterie,,pc,3000,3000,7,1,,,15410.jpg,,,,,,,
bolducs bobine lisse 500mx7mm rose,,papeterie,,pc,3000,3000,7,1,,,15411.jpg,,,,,,,
clairefontaine bolduc bobine lisse 500mx7mm lilas,,papeterie,,pc,3000,3000,4,0,,,15412.jpg,,,,,,,
bolducs bobine lisse 500mx7mm violet,,papeterie,,pc,3400,3400,2,0,,,15413.jpg,,,,,,,
bolducs bobine mat 25x10mm vert c,,papeterie,,pc,7800,7800,1,0,,,15415.jpg,,,,,,,
bolducs bobine metallisee 25x10mm jade,,papeterie,,pc,7800,7800,3,0,,,15416.jpg,,,,,,,
bolducs bobine metallisee 25x10mm,,papeterie,,pc,7800,7800,5,1,,,15418.jpg,,,,,,,
