Nom, marque,CATEGORY, code sous-cateogru, unite,cout,PRIX,QUANTITE,QANTITE ALERT, code-hsn, code isbn,Image, details(virgule interdite),frais supplementaire,"	frais suplementaires 2mois","	frais suplementaires 3 mois",frais penalite 1 mois,frais penalite 2mois,frais penalite 3 mois
calligraphe lot de 5 cahiers pique polypro 17x22 cm 140 p seyes 90g incolore,,papeterie,,pc,1200,1200,20,2,,,2697.jpg,,,,,,,
cahier double 2.5mm 17*22 bleu 32p seyes 10 10 8000 polypro,,papeterie,,pc,400,400,44,5,,,2702.jpg,,,,,,,
cahier double ligne 3mm 17*22 vert 32p 8000 polypro,,papeterie,,pc,500,500,109,11,,,2703.jpg,,,,,,,
calligraphe lot de 10 cahiers pique polypro 17x22 cm 48 p seyes 90g jaune,,papeterie,,pc,500,500,40,4,,,2705.jpg,,,,,,,
calligraphe cahier de textes spirale polypro 17x22 124p seyes 70g (assortis),,papeterie,,pc,1650,1650,40,4,,,2706.jpg,,,,,,,
cahier de dessin pique 24*32 96p 120g 8000 polypro uni,,papeterie,,pc,1900,1900,14,2,,,2707.jpg,,,,,,,
carnet pique 110*170 96p 90g 8000 polypro q5,,papeterie,,pc,700,700,15,2,,,2708.jpg,,,,,,,
calligraphe cahier pique polypro poesie & chant 17x22cm 48p r,,papeterie,,pc,500,500,40,4,,,2709.jpg,,,,,,,
cahier colle a4 288p 70g seyes,,papeterie,,pc,3850,3850,6,1,,,2710.jpg,,,,,,,
"oxford, 1 agenda semainier voyage aout 2014 a sept 2015, 09x17cm, plusieurs couleurs disponibles",,papeterie,,pc,5800,5800,20,2,,,2715.jpg,,,,,,,
repertoire spirale  a4 180 pages 5*5,,papeterie,,pc,4550,4550,37,4,,,2730.jpg,,,,,,,
feuille mobile a-p a4 rose 70grs  paquet 50 seyes,,papeterie,,pc,1450,1450,318,32,,,2731.jpg,,,,,,,
feuille mobile a-p a4 bleu 70grs  paquet 50 seyes,,papeterie,,pc,1450,1450,477,48,,,2732.jpg,,,,,,,
feuille mobile a-p a4 vert paquet 50 seyes,,papeterie,,pc,1500,1500,364,37,,,2733.jpg,,,,,,,
cahier de dessin 17*22 16pages 90grs uni,,papeterie,,pc,500,500,3,1,,,2734.jpg,,,,,,,
cahier pique 17*22 140pages 70grs seyes,,papeterie,,pc,900,900,125,13,,,2735.jpg,,,,,,,
cahier pique 24*32 48 pages 90grs seyes vert polypro,,papeterie,,pc,1300,1300,751,76,,,2736.jpg,,,,,,,
cahier pique 24*32. 48pages polypropylene rouge 90grs seyes,,papeterie,,pc,850,850,719,72,,,2737.jpg,,,,,,,
cahier pique 24*32. 48pages polypropylene jaune 90grs seyes,,papeterie,,pc,850,850,801,81,,,2738.jpg,,,,,,,
cahier spirale 17*22. 100pages 70grs seyes,,papeterie,,pc,1350,1350,1,1,,,2741.jpg,,,,,,,
cahier pique 17*22 96pages incolore 90grs seyes,,papeterie,,pc,800,800,2551,256,,,2743.jpg,,,,,,,
cahier pique a4 96pages 70grs q5*5,,papeterie,,pc,900,900,1,1,,,2745.jpg,,,,,,,
repertoire broche remborde a4 192pages q5*5 90grs,,papeterie,,pc,8650,8650,104,11,,,2746.jpg,,,,,,,
agenda caisse perpetuel grain noir,,papeterie,,pc,7000,7000,1,1,,,2747.jpg,,,,,,,
cahier colle  a4 192pages q5*5,,papeterie,,pc,1500,1500,2,1,,,2748.jpg,,,,,,,
cahier broche 17*22 384pages seyes,,papeterie,,pc,800,800,14,2,,,2750.jpg,,,,,,,
recharge exatime 17 fiche client,,papeterie,,pc,3450,3450,7,1,,,2751.jpg,,,,,,,
cahier colle 17*22 seyes 288pages,,papeterie,,pc,800,800,6,1,,,2753.jpg,,,,,,,
cahier pique 17*22 32pages seyes 70grs,,papeterie,,pc,300,300,686,69,,,2758.jpg,,,,,,,
agenda manager repertoire fr soho noir ebene,,papeterie,,pc,18000,18000,5,1,,,2764.jpg,,,,,,,
feuille mobile 17*22 80grs 100pages jaune seyes  paquet 50 s-film 7884c,,papeterie,,pc,850,850,13,2,,,2765.jpg,,,,,,,
copie double perforee a4 120pages 70grs  seyes paquet 60 s-film,,papeterie,,pc,1250,1250,25,3,,,2766.jpg,,,,,,,
feuille mobile a4 80grs 100pages seyes rose paquet 50 s-film,,papeterie,,pc,1250,1250,2,1,,,2767.jpg,,,,,,,
carnet repertoire pique 9*14  301-04 96pages,,papeterie,,pc,1600,1600,41,5,,,2770.jpg,,,,,,,
